Repository URL,Linked Databases,"description
(yes/no)","keywords
(yes/no)","readme
(yes/no)","codeofconduct
(yes/no)","license
(type)","purpose
(why?)",notes
https://github.com/earthcubearchitecture-project418gui/server,"[LinkedEarth Wiki,Biological and Chemical Oceanography Data Management Office,IEDA,HydroShare]",,,,,,,
https://github.com/EDIorg/five_phases_DM,[ITIS],,,,,,,
https://github.com/eljefe387/geoservergeoools,"[Geoscience Australia,GeoGratis]",,,,,,,
https://github.com/eloffel/improved_embeddings,"[Amazon Web Services,Humanitarian Data Exchange,The World Atlas of Language Structures]",,,,,,,
https://github.com/Enchufa2/cran2copr,"[The Paleobiology Database,National Ecological Observatory Network,PDS,ITIS]",,,,,,,
https://github.com/enlight-me/investinsight-geoportal,"[The National Map,Geoscience Australia]",,,,,,,
https://github.com/epos-eu/EPOS-DCAT-AP,"[British Geological Survey,AHEAD,EIDA]",,,,,,,
https://github.com/ericjwei/Lightly-Sauteed-Vegetables,[USGS Earthquake Hazards Program],,,,,,,
https://github.com/ES-DOC/pyessv-archive,[National Center for Atmospheric Research],,,,,,,
https://github.com/excenter/epa.gov,"[Alaska Climate Research Center,GeoPlatform]",,,,,,,
https://github.com/ExploringLies/liar-datasets,"[Remote Sensing Systems,diversitydata.org]",,,,,,,
https://github.com/fengtuo58/QtLearning,[The National Map],,,,,,,
https://github.com/Ferdudas97/ict-nearby-earthquakes,[USGS Earthquake Hazards Program],,,,,,,
https://github.com/fils/CDFRegistryWG,"[EarthChem,IEDA,EarthChem Library,Incorporated Research Institutions for Seismology]",,,,,,,
https://github.com/fraeli78/GIS4Labrador,"[Humanitarian Data Exchange,GeoCommons Archive]",,,,,,,
https://github.com/fullerdav/fullerdav.github.io,"[USGS Earthquake Hazards Program,Humanitarian Data Exchange,GeoPlatform,EM-DAT]",,,,,,,
https://github.com/gaoyajian/scriptsforasdf,[GEOFON],,,,,,,
https://github.com/ghukill/coretrust_scraper,"[Cold and Arid Regions Science Data Center at Lanzhou,GHRC,Ocean Networks Canada,WDC for geophysics, Beijing,PANGAEA,National Geoscience Data Centre]",,,,,,,
https://github.com/Gipsa-lab-PFP/BOARR,[The National Map],,,,,,,
https://github.com/gitpeterwind/rv4_32_beta,[EMEP],,,,,,,
https://github.com/go-fair-ins/GO-FAIR-BiodiFAIRse,"[Fishnet2,biodiversity.aq]",,,,,,,
https://github.com/godnew/godnew.github.io,[Datatang],,,,,,,
https://github.com/govau/australia-gov-au-static,[Geoscience Australia],,,,,,,
https://github.com/govhack-science/govhack-science.github.io,"[Geoscience Australia,National Vegetation Survey Databank]",,,,,,,
https://github.com/griesyuli/semanticMSE,"[REasons for Geographic and Racial Differences in Stroke Study,USGS Earthquake Hazards Program,History Data Service,GIS Data Depot]",,,,,,,
https://github.com/henryqin1997/table-embeddings,"[Geoscience Australia,NEEShub]",,,,,,,
https://github.com/highsource/ogc-schemas,"[Data.gov.au,British Geological Survey,Geoscience Australia]",,,,,,,
https://github.com/homelessgod/https,"[EDINA,NGEE Arctic]",,,,,,,
https://github.com/hsu000001/IEDAEarthChem_paper,"[EarthChem,SedDB,VentDB,EarthChem Library]",,,,,,,
https://github.com/iCyberGeek/Sinister,"[TERRA,GLOBE]",,,,,,,
https://github.com/iedadata/resources,"[EarthChem,IEDA,U.S. Antarctic Program Data Center]",,,,,,,
https://github.com/iedadata/usap-dc-website,"[EarthChem,IEDA,MediaBank,U.S. Antarctic Program Data Center,EarthChem Library,Polar Geospatial Center]",,,,,,,
https://github.com/imvatsal7/Linguistics,[The World Atlas of Language Structures],,,,,,,
https://github.com/ioos/compliance-checker,[The National Map],,,,,,,
https://github.com/IQSS/dataverse-installations,"[Libra Data,Australian Data Archive]",,,,,,,
https://github.com/Jabble/tamu-rdm-workshops,"[EDINA,ITIS]",,,,,,,
https://github.com/jay1204/SOD-modeling-cpp,[Comprehensive Large Array-data Stewardship System],,,,,,,
https://github.com/jburnford/Geospatial-Historian,[EDINA],,,,,,,
https://github.com/jobvw/regression,[GOVDATA],,,,,,,
https://github.com/jonititan/python-raster-vector-geospatial,[National Ecological Observatory Network],,,,,,,
https://github.com/jscarto/js_net,[LAADS DAAC],,,,,,,
https://github.com/JUNHUA93/itm361-summer2017-lab4,[PDS],,,,,,,
https://github.com/KnowledgeCaptureAndDiscovery/wikibot,[LinkedEarth Wiki],,,,,,,
https://github.com/kucingit3m/Plagiarsm-Detection,[British Geological Survey],,,,,,,
https://github.com/lagvier/Abraham-Kipkosgei-Lagat,"[Humanitarian Data Exchange,EM-DAT]",,,,,,,
https://github.com/lata3774/CompBioLabsAndHomework,[ITIS],,,,,,,
https://github.com/lhm/stromerzeuger,[GOVDATA],,,,,,,
https://github.com/LibraryCarpentry/Top-10-FAIR,"[British Geological Survey,World Ocean Database,Open Context,EASY]",,,,,,,
https://github.com/ljborton/Coursera_Lectures,[GOVDATA],,,,,,,
https://github.com/locationtech/rasterframes,[Landsat Missions],,,,,,,
https://github.com/lohitjain/WebClassification,"[GEOMIND,EMEP,GIS Data Depot]",,,,,,,
https://github.com/lshok/DFT-collections,[RRUFF Project],,,,,,,
https://github.com/lteran/latam-map2,"[The National Map,Data.gov.au,Geoscience Australia]",,,,,,,
https://github.com/lucas0/Annotator,"[NCEI,USGS Earthquake Hazards Program,U.S. Geological Survey,CoRIS,Climate Data Online]",,,,,,,
https://github.com/lucas0/OriginID,"[NCEI,USGS Earthquake Hazards Program,U.S. Geological Survey,CoRIS,Climate Data Online]",,,,,,,
https://github.com/manthaappu/searchengine,"[British Geological Survey,NEEShub]",,,,,,,
https://github.com/marialma/Public-Data-Sets,"[Humanitarian Data Exchange,GeoPlatform]",,,,,,,
https://github.com/maximz/Photon,"[USGS Earthquake Hazards Program,Claremont Colleges Digital Library]",,,,,,,
https://github.com/metazool/bgs_sgy,"[British Geological Survey,National Geoscience Data Centre]",,,,,,,
https://github.com/mglbranco/researcheRs2,"[ITIS,PANGAEA]",,,,,,,
https://github.com/Mgt-A/Wikipedia-Classification,"[USGS Earthquake Hazards Program,EarthScope,EM-DAT,EMEP]",,,,,,,
https://github.com/mkirby42/Science-NLP,[British Geological Survey],,,,,,,
https://github.com/mkyral/osm,[TERRA],,,,,,,
https://github.com/mminin/IntroEarthData,"[Global Change Master Directory,PANGAEA]",,,,,,,
https://github.com/moeycb/samples,"[The National Map,USGS Earthquake Hazards Program,EarthScope,Intermagnet]",,,,,,,
https://github.com/morganherlocker/portalizer,"[CoRIS,Northwest Knowledge Network]",,,,,,,
https://github.com/MTES-MCT/aides-territoires,[data.eaufrance.fr],,,,,,,
https://github.com/murrayk/pythonscripts,"[British Geological Survey,EDINA]",,,,,,,
https://github.com/nasa-gibs/worldview,"[OceanColor web,Visible earth,TERRA,Precipitation Processing System]",,,,,,,
https://github.com/nasa-gibs/worldview-options-eosdis,"[OceanColor web,Visible earth,TERRA,Precipitation Processing System]",,,,,,,
https://github.com/NCAR/dset-web-accessible-folder-dev,"[Remote Sensing Systems,DASH Repository,CESM Experiments,Climate Data Gateway at NCAR]",,,,,,,
https://github.com/nds-org/nds-website,"[EarthChem,TERRA]",,,,,,,
https://github.com/nishantBansal/search-engine,"[EarthScope,GIS Data Depot]",,,,,,,
https://github.com/noahch/travis-test-2,"[Geoscience Australia,GeoGratis]",,,,,,,
https://github.com/occiware/occiware-ozwillo,[GEON],,,,,,,
https://github.com/OCHA-DAP/dap-scrapers,[EM-DAT],,,,,,,
https://github.com/OCKProject/Force11-OCKWG,"[The Paleobiology Database,National Ecological Observatory Network,Protected Planet,NASA Earth Exchange,EM-DAT,Climate Data Online,Web Soil Survey]",,,,,,,
https://github.com/OhIAmFine/Cube-master,[Datatang],,,,,,,
https://github.com/OpenGeoMetadata/gov.data,"[Remote Sensing Systems,The National Map,NCEI,NC OneMap,OceanSITES,USGS Earthquake Hazards Program,Comprehensive Large Array-data Stewardship System,Physical Oceanography Distributed Active Archive Center,National Geothermal Data System,NASA Earth Exchange,EarthScope,Antarctic Marine Geology Research Facility,Lamont-Doherty Core Repository,Energy Data eXchange,CoRIS,NEPTUNE Canada,Polar Rock Repository,PDS,Climate Data Online,GIS Data Depot]",,,,,,,
https://github.com/OrionMeyer/Scots-House-Prices-and-Wind-Turbines,[EDINA],,,,,,,
https://github.com/pangaea-data-publisher/PanGet,[PANGAEA],,,,,,,
https://github.com/panosc-eu/panosc,[Code Ocean],,,,,,,
https://github.com/petermr/tigr2ess,"[Tropical Rainfall Measuring Mission,Humanitarian Data Exchange,ITIS]",,,,,,,
https://github.com/planetfederal/geotools-tike,"[Geoscience Australia,GeoGratis]",,,,,,,
https://github.com/prasanna310/hydrods,[HydroShare],,,,,,,
https://github.com/ptgolden/lov-ns,[Data.gov.au],,,,,,,
https://github.com/puneetjohal/ShrimpCrackers,"[NCEI,Climate Data Online]",,,,,,,
https://github.com/qpec/Altmetric_17K_Top_Articles,"[REasons for Geographic and Racial Differences in Stroke Study,Humanitarian Data Exchange,Ocean Networks Canada,EM-DAT,EMEP,Moderate Resolution Imaging Spectroradiometer]",,,,,,,
https://github.com/RashmiNalwad/Scientific-Content-Enrichment-in-the-Text-Retrieval-Conference-TREC-Polar-Dynamic-Dataset-,"[Geoscience Australia,GEOROC]",,,,,,,
